_c0,Date,Number_of_Retweets,Tweet
36,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
37,"22 April",193,"RT @laney2003us: JOIN ME FOR A THIRSTY THURSDAY VOTE BLUE IN 2022 MEET UP 
🍸🥃🍾🥂🍸🥃🍾🥂🍸🥃
#StandWithUkraine 
#PutinWarCriminal 
#VoteThemOut 
#…"
38,"22 April",307,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
39,"22 April",257,"RT @DefenceHQ: The illegal and unprovoked invasion of Ukraine is continuing. 

The map below is the latest Defence Intelligence update on t…"
42,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
45,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
47,"22 April",333,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
50,"22 April",307,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
51,"22 April",75,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
53,"22 April",87,"RT @olex_scherba: Thank you, @AnheuserBusch!
#StandWithUkraine #StopRussia #ArmUkraineNow"
57,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
60,"22 April",75,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
63,"22 April",1340,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
69,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
70,"22 April",104,"RT @GoncharenkoUa: Ukrainian defenders do not hesitate to spare a minute to take care of the four-legged friends! The animals also need pro…"
72,"22 April",93,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
74,"22 April",170,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
75,"22 April",93,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
77,"22 April",333,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
82,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
83,"22 April",307,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
84,"22 April",79,"RT @Sky_Lee_1: @POTUS Thank you Sir, we will not forget those who continue to vote no on aid to Ukraine. 
#StandWithUkraine 🇺🇦🌻 https://t.c…"
85,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
86,"22 April",4929,"RT @lesiavasylenko: As of today heavy weapons and military aid arrives to #Ukraine from USA 🇺🇸 Canada 🇨🇦 UK 🇬🇧 Netherlands 🇳🇱 Japan 🇯🇵 Ital…"
88,"22 April",170,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
91,"22 April",7781,"RT @DefenceHQ: The Russian MoD has confirmed the use of the TOS-1A weapon system in Ukraine. The TOS-1A uses thermobaric rockets, creating…"
92,"22 April",1828,"RT @olex_scherba: #RussianArmy intercept. 

- They gave me a medal. 25 civilians were driving on a bus. Killed them all. 
- Yeah? And I met…"
96,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
98,"22 April",170,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
0,"22 April",1336,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
6,"22 April",1410,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
7,"22 April",104,"RT @GoncharenkoUa: Ukrainian defenders do not hesitate to spare a minute to take care of the four-legged friends! The animals also need pro…"
9,"22 April",93,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
11,"22 April",171,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
12,"22 April",93,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
14,"22 April",331,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
19,"22 April",1410,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
20,"22 April",303,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
21,"22 April",79,"RT @Sky_Lee_1: @POTUS Thank you Sir, we will not forget those who continue to vote no on aid to Ukraine. 
#StandWithUkraine 🇺🇦🌻 https://t.c…"
22,"22 April",1410,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
23,"22 April",4929,"RT @lesiavasylenko: As of today heavy weapons and military aid arrives to #Ukraine from USA 🇺🇸 Canada 🇨🇦 UK 🇬🇧 Netherlands 🇳🇱 Japan 🇯🇵 Ital…"
25,"22 April",171,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
28,"22 April",7781,"RT @DefenceHQ: The Russian MoD has confirmed the use of the TOS-1A weapon system in Ukraine. The TOS-1A uses thermobaric rockets, creating…"
29,"22 April",1828,"RT @olex_scherba: #RussianArmy intercept. 

- They gave me a medal. 25 civilians were driving on a bus. Killed them all. 
- Yeah? And I met…"
33,"22 April",1410,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
