_c0,Date,Number_of_Retweets,Tweet
81,"22 April",68,"RT @CitizenWonk: Polish women band together to give Ukrainian women rides to safety!
Women are showing the world what #StandWithUkraine loo…"
83,"22 April",185,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
84,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
86,"22 April",296,"RT @olex_scherba: Yo Yo Ma thanking those who help - and playing #Ukraine’s national anthem. Thank you!

#StandWithUkraine #ArmUkraineNow h…"
88,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
89,"22 April",87,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
90,"22 April",1370,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
92,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
93,"22 April",185,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
95,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
98,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
1,"22 April",1324,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
4,"22 April",499,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
8,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
9,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
11,"22 April",1324,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
15,"22 April",64,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

A missile hits #Kharkiv residential area.
What a terror.
And surely that was one of the smaller ones.

Video:…"
17,"22 April",1324,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
23,"22 April",198,"RT @Denys_Shmyhal: Met with 🇺🇸 Secretary of Transportation @SecretaryPete. Told about significant losses of #Ukraine due to russia's milita…"
27,"22 April",506,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""I SURVIVED HITLER, SURVIVED STALIN AND I WILL SURVIVE THAT ASSHOLE PUTIN TOO!"",

says 96-year-old Ukrainian…"
29,"22 April",96,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

SUPPORT UKRAINE   NO. 3

The only strategy Russia knows is killing civilians and destroying infrastructure.…"
32,"22 April",506,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""I SURVIVED HITLER, SURVIVED STALIN AND I WILL SURVIVE THAT ASSHOLE PUTIN TOO!"",

says 96-year-old Ukrainian…"
33,"22 April",69,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
34,"22 April",4272,"RT @avalaina: It hasn't happened yet, but it will happen soon or later. Beautiful photo, is not it?
#StandWithUkraine https://t.co/4bJDbPbA…"
38,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
39,"22 April",929,"RT @olex_scherba: The occupied Melitopol. Ukrainian man tears down Putin’s disgusting tricolor.

#StandWithUkraine #ArmUkraineNow #StopRuss…"
40,"22 April",1324,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
41,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
43,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
44,"22 April",226,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 1

This drone footage shows the incredible devastation of Mariupol from the Russ…"
45,"22 April",271,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
50,"22 April",1324,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
51,"22 April",59,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 4

Bodies, land mines and destruction: A Ukrainian region digs out after the Rus…"
52,"22 April",7254,"RT @olex_scherba: My former colleague in Mariupol, a border guard officer, called &amp; asked to help his family, should he not make it…
The ye…"
57,"22 April",87,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""HITLER IS FASCIST NUMBER ONE 
AND
PUTIN IS FASCIST NUMBER TWO!"",

says 85-year-old Ukrainan Roman Shvartsman…"
58,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
65,"22 April",1324,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
66,"22 April",124,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 5

Listen what Makar, a 7-year-old boy from Mariupol, has to say.
 
📣🔔PLEASE RET…"
68,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
70,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
72,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
74,"22 April",64,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

A missile hits #Kharkiv residential area.
What a terror.
And surely that was one of the smaller ones.

Video:…"
75,"22 April",1324,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
79,"22 April",1324,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
81,"22 April",59,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 4

Bodies, land mines and destruction: A Ukrainian region digs out after the Rus…"
87,"22 April",174,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

It's so hilarious.

The #Ukraine flag was projected onto the Russian Embassy in #DC.
Of course, the Russians…"
90,"22 April",96,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

SUPPORT UKRAINE   NO. 3

The only strategy Russia knows is killing civilians and destroying infrastructure.…"
92,"22 April",1388,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
94,"22 April",102,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

SUPPORT UKRAINE   NO. 4

“We stopped the enemy from all sides. We brought him losses he could never have imag…"
96,"22 April",96,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

SUPPORT UKRAINE   NO. 3

The only strategy Russia knows is killing civilians and destroying infrastructure.…"
98,"22 April",226,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 1

This drone footage shows the incredible devastation of Mariupol from the Russ…"
99,"22 April",220,"RT @avalaina: This is Mira Khalitova, a student of the faculty of history. Her native father filed a complaint against her to the police fo…"
0,"23 April",156,"RT @CanadaFP: Putin’s assault on #Ukraine is an unprovoked, premeditated and barbaric attack on Ukrainian citizens and the democratic found…"
1,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
2,"23 April",413,"RT @Lyla_lilas: #Zelensky March 7th 
""I stay in Kyiv. On Bankova. Not hiding. And I'm not afraid of anyone. And as much as it takes to win…"
3,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
4,"23 April",199,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
6,"23 April",92,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
7,"23 April",241,"RT @olex_scherba: #RussianArmy destroyed this #Ukrainian school - &amp; left signatures on the walls. 

#StopRussia #StandWithUkraine #ArmUkrai…"
8,"23 April",199,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
9,"23 April",347,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
11,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
12,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
13,"23 April",324,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
16,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
19,"23 April",203,"RT @Denys_Shmyhal: Met with 🇺🇸 Secretary of Transportation @SecretaryPete. Told about significant losses of #Ukraine due to russia's milita…"
20,"23 April",199,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
21,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
22,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
23,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
28,"23 April",106,"RT @GoncharenkoUa: Ukrainian defenders do not hesitate to spare a minute to take care of the four-legged friends! The animals also need pro…"
30,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
35,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
37,"23 April",67,"RT @EU_Commission: If you are fleeing Ukraine and coming to the EU, here are some useful recommendations on how to stay safe while on the m…"
40,"23 April",256,"RT @Amy_Siskind: Ukrainian officials say 20,000 plus civilians are dead in Mariupol, and Putin is trying to hide the evidence of war crimes…"
41,"23 April",256,"RT @Amy_Siskind: Ukrainian officials say 20,000 plus civilians are dead in Mariupol, and Putin is trying to hide the evidence of war crimes…"
45,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
46,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
47,"23 April",324,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
51,"23 April",283,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
53,"23 April",199,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
54,"23 April",303,"RT @olex_scherba: Yo Yo Ma thanking those who help - and playing #Ukraine’s national anthem. Thank you!

#StandWithUkraine #ArmUkraineNow h…"
55,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
57,"23 April",61,"RT @Mariana_Betsa: Appeasement does not work. Fear - does not work. What does work - bravery and resistance, heavy weaponry, devastating sa…"
59,"23 April",199,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
62,"23 April",324,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
64,"23 April",92,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
66,"23 April",324,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
69,"23 April",303,"RT @olex_scherba: Yo Yo Ma thanking those who help - and playing #Ukraine’s national anthem. Thank you!

#StandWithUkraine #ArmUkraineNow h…"
71,"23 April",384,"RT @natsechobbyist: This is breathtaking💙💛

#StandWithUkraine 
#ArmUkraineNow 
#SlavaUkraini"
74,"23 April",652,"RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…"
75,"23 April",530,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
77,"23 April",199,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
78,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
79,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
81,"23 April",256,"RT @Amy_Siskind: Ukrainian officials say 20,000 plus civilians are dead in Mariupol, and Putin is trying to hide the evidence of war crimes…"
83,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
84,"23 April",1283,"RT @EmineDzheppar: The postage stamp named ""Russian warship, go f**k yourself!"" will appear in🇺🇦.  The sketch by artist Boris Groh received…"
85,"23 April",9846,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
90,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
91,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
94,"23 April",199,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
95,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
96,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
97,"23 April",1516,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
99,"23 April",1392,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
0,"23 April",876,"RT @olex_scherba: A group of German intellectuals urged @OlafScholz not to supply weapons to Ukraine. I didn’t know “German intellectuals”…"
1,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
4,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
7,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
8,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
10,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
11,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
13,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
15,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
16,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
17,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
20,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
21,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
23,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
27,"23 April",846,"RT @EmineDzheppar: #Kharkiv, Viktor Hubariev, 79, killed by #Russian bomb. He went out to buy bread and bring it back home to his daughter…"
28,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
30,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
31,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
32,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
37,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
42,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
44,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
45,"23 April",876,"RT @olex_scherba: A group of German intellectuals urged @OlafScholz not to supply weapons to Ukraine. I didn’t know “German intellectuals”…"
47,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
48,"23 April",846,"RT @EmineDzheppar: #Kharkiv, Viktor Hubariev, 79, killed by #Russian bomb. He went out to buy bread and bring it back home to his daughter…"
49,"23 April",286,"RT @ua_parliament: 🛑 PLEASE SHARE THIS INFO! 
We need humanitarian corridors from #Mariupol! Help save Mariupol!

#SaveMariupol #StopRussia…"
50,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
51,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
52,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
54,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
55,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
56,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
58,"23 April",846,"RT @EmineDzheppar: #Kharkiv, Viktor Hubariev, 79, killed by #Russian bomb. He went out to buy bread and bring it back home to his daughter…"
59,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
61,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
64,"23 April",216,"RT @Mariana_Betsa: Two beautiful talented girls Yelizaveta and Sonya were killed in Mariupol. They were actors in Mariupol theatre. - advis…"
67,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
69,"23 April",123,"RT @Mariana_Betsa: Heartbreaking. “I want to go home, I want to see the
sun”. Mariupol, basement under the Azovstal plant #StopRussia #Stan…"
70,"23 April",165,"RT @avalaina: A firefighter rescues books from the rubble in Chernihiv.
April 22, 2022
#StandWithUkraine 
Photo Emilio Morenatti https://t.…"
71,"23 April",876,"RT @olex_scherba: A group of German intellectuals urged @OlafScholz not to supply weapons to Ukraine. I didn’t know “German intellectuals”…"
72,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
74,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
75,"23 April",1054,"RT @ukraine_world: A rally against Russian aggression in Ukraine took a place in Taipei City, Taiwan.

#StandWithUkraine #StandUpForUkraine…"
76,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
77,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
79,"23 April",77,"RT @avalaina: Tetyana Teren: World Book Day is celebrated on April 23. 
And this is the Chernihiv Library for Youth in the photo by Yevhen…"
81,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
82,"23 April",2645,"RT @avalaina: Be brave! Be on the right side of history! 
#StandWithUkraine https://t.co/fiLjufKMQV"
84,"23 April",876,"RT @olex_scherba: A group of German intellectuals urged @OlafScholz not to supply weapons to Ukraine. I didn’t know “German intellectuals”…"
85,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
86,"23 April",2341,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
87,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
88,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
90,"23 April",876,"RT @olex_scherba: A group of German intellectuals urged @OlafScholz not to supply weapons to Ukraine. I didn’t know “German intellectuals”…"
91,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
93,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
95,"23 April",764,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
96,"23 April",330,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
97,"23 April",686,"RT @MFA_Ukraine: Our heroes are risking their lives to save animals 💙💛

We are grateful to all the shelters and volunteers working to save…"
98,"23 April",77,"RT @avalaina: Tetyana Teren: World Book Day is celebrated on April 23. 
And this is the Chernihiv Library for Youth in the photo by Yevhen…"
0,"22 April",167,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
3,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
6,"22 April",1332,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
9,"22 April",59,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DEBUNK RUSSIA    NO. 9

German Intelligence Intercepts Radio Traffic Discussing the Murder of Civilians 

htt…"
10,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
14,"22 April",1400,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
15,"22 April",67,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
18,"22 April",1332,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
