,Time Created,Number_of_Likes,Number_of_Retweets,Tweet
23,2022-04-22 10:42:53+00:00,0,274,"RT @DefenceHQ: From the outset, Russia sent many young conscripts into Ukraine. 

It is likely many did not know they were being sent to wa…"
24,2022-04-22 10:42:46+00:00,0,38,"RT @ua_parliament: ❗An appeal of @profGrodzki, Marshal of the Senate of the Republic of #Poland, and @Vystrcil_Milos, President of the Sena…"
25,2022-04-22 10:42:42+00:00,0,849,"RT @olex_scherba: The occupied Melitopol. Ukrainian man tears down Putin’s disgusting tricolor.

#StandWithUkraine #ArmUkraineNow #StopRuss…"
26,2022-04-22 10:42:41+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
27,2022-04-22 10:42:40+00:00,0,287,"RT @Klitschko: Ukrainian soldiers are not going to surrender!

#FreeUkraine #WeAreAllUkrainians #StandWithUkraine #StopTheWar #Ukraine #Uni…"
28,2022-04-22 10:42:40+00:00,0,0,"Thanks to your sponsorship of the russian invasion, children in #Ukraine are dying of starvation in besieged cities right now. Cut ties with russia now!
@Syngenta #BoycottRussia  #StopPutin #StopRussianAggression #stopwarinukraine #standwithukraine #StopBusinessInRussia https://t.co/yjf7Pv4CTH"
29,2022-04-22 10:42:37+00:00,0,0,"@avalaina @MarkHiggie1 Putin is a reincarnation of Hitler aided by too many countries looking the other way
#StandWithUkraine"
30,2022-04-22 10:42:34+00:00,0,1,"RT @EMedishi: The grandfather protects the baby's sleep in the center of immigrants in Zaporozhye 🇺🇦

#WARINUKRAINE #StandWithUkraine #Russ…"
31,2022-04-22 10:42:26+00:00,0,333,"RT @DariaBilodid: I am UKRAINIAN 💙💛 and I proud of it!

#StandWithUkraine #Ukraine https://t.co/UvUm8swt89"
32,2022-04-22 10:42:19+00:00,0,333,"RT @DariaBilodid: I am UKRAINIAN 💙💛 and I proud of it!

#StandWithUkraine #Ukraine https://t.co/UvUm8swt89"
33,2022-04-22 10:42:10+00:00,0,49,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
34,2022-04-22 10:42:06+00:00,0,87,RT @MFA_Ukraine: Strongly welcome decision of  Organisation of American States to suspend Russia’s status as permanent observer to organiza…
35,2022-04-22 10:42:04+00:00,0,387,RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…
36,2022-04-22 10:42:00+00:00,0,0,"The partisans have already destroyed about 100 invaders in #Melitopol - the mayor of the city Ivan Fedorov.

""According to #intelligence, the destruction of 100 invaders has been confirmed. 
#StopRussianAggression #StopPutin #StandWithUkraine #SupportUkraine https://t.co/0ffDTlu6yn"
37,2022-04-22 10:41:59+00:00,0,0,"#StandWithUkraine
 
https://t.co/3JHsLngAJX Is Now Playing - 
Arvada Rocks Radio - Foghorn Leghorn and Elmer - JP -  https://t.co/hu5UXGedbg"
38,2022-04-22 10:41:47+00:00,0,87,RT @MFA_Ukraine: Strongly welcome decision of  Organisation of American States to suspend Russia’s status as permanent observer to organiza…
39,2022-04-22 10:41:41+00:00,0,849,"RT @olex_scherba: The occupied Melitopol. Ukrainian man tears down Putin’s disgusting tricolor.

#StandWithUkraine #ArmUkraineNow #StopRuss…"
40,2022-04-22 10:41:40+00:00,0,333,"RT @DariaBilodid: I am UKRAINIAN 💙💛 and I proud of it!

#StandWithUkraine #Ukraine https://t.co/UvUm8swt89"
41,2022-04-22 10:41:39+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
42,2022-04-22 10:41:38+00:00,0,0,I hate this government more and more. Why can’t they help these people who have been waiting for 5 weeks? They’ve fled a war. They want a safe home @luhc sort it out #HomesforUkraine #StandWithUkraine https://t.co/HCUNliXHq6
43,2022-04-22 10:41:35+00:00,0,333,"RT @DariaBilodid: I am UKRAINIAN 💙💛 and I proud of it!

#StandWithUkraine #Ukraine https://t.co/UvUm8swt89"
44,2022-04-22 10:41:32+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
45,2022-04-22 10:41:23+00:00,1,0,"@Globecast @Eutelsat_SA
russian invaders killed peaceful Ukrainians. You continue to broadcast russian TV channels and their propaganda throughout Europe.
This is a bloody business. Please stop sponsoring death in #Ukraine
#StandWithUkraine https://t.co/aR25E5F5nb"
46,2022-04-22 10:41:07+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
47,2022-04-22 10:41:02+00:00,0,849,"RT @olex_scherba: The occupied Melitopol. Ukrainian man tears down Putin’s disgusting tricolor.

#StandWithUkraine #ArmUkraineNow #StopRuss…"
48,2022-04-22 10:40:56+00:00,0,849,"RT @olex_scherba: The occupied Melitopol. Ukrainian man tears down Putin’s disgusting tricolor.

#StandWithUkraine #ArmUkraineNow #StopRuss…"
49,2022-04-22 10:40:56+00:00,0,407,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
50,2022-04-22 10:40:50+00:00,0,849,"RT @olex_scherba: The occupied Melitopol. Ukrainian man tears down Putin’s disgusting tricolor.

#StandWithUkraine #ArmUkraineNow #StopRuss…"
51,2022-04-22 10:40:50+00:00,0,49,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
52,2022-04-22 10:40:49+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
53,2022-04-22 10:40:46+00:00,0,2345,"RT @avalaina: From 24th of February we had very little joys. But when we have it, it is very sincere happiness.
#StandWithUkraine https://t…"
54,2022-04-22 10:40:37+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
55,2022-04-22 10:40:35+00:00,0,164,RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…
56,2022-04-22 10:40:32+00:00,0,226,"RT @ukraine_world: Kiel Institute for the World Economy calculated which partners support Ukraine the most, both in billion euros and in %…"
